invoice_id,invoice_amount,priority_tier,payment_blocked,escalation_required,escalation_decision_reason,normalized_priority_score,raw_priority_score,sla_hours,auto_resolved,auto_close_flag,communication_required,communication_draft,root_cause_categories,resolution_owners,exceptions_summary,skipped_exceptions_trace,decision_trace
upload_0db3113d,93.5,HIGH,True,True,,76.19,160.0,24,False,False,False,Drafted communication for upload_0db3113d regarding escalations.,Accounts Payable,AP Manager,Exact Duplicate Invoice (1.00),"[{""skipped_rule"": ""PO Not Found"", ""reason"": ""Routing blocked by stop_further_checks (Exact Duplicate Invoice)"", ""confidence_if_evaluated"": 1.0}]",Evaluated Exact Duplicate Invoice with confidence 1.00. | Evaluated PO Not Found with confidence 1.00. | Calculated Priority Score: 76.19 from 2 evaluated exceptions (Raw: 160.0). | Payment blocked by Exact Duplicate Invoice. | Escalation required by Exact Duplicate Invoice. | Exact Duplicate Invoice has stop_further_checks=true. Remaining validations skip routing. | Skipped routing for 'PO Not Found' — stop_further_checks active from (Exact Duplicate Invoice). | Age Weight Applied: 30 points (invoice age = 3793 days). | Assigned Priority Tier: HIGH
upload_71444e23,93.5,HIGH,True,True,,76.19,160.0,24,False,False,False,Drafted communication for upload_71444e23 regarding escalations.,Accounts Payable,AP Manager,Exact Duplicate Invoice (1.00),"[{""skipped_rule"": ""PO Not Found"", ""reason"": ""Routing blocked by stop_further_checks (Exact Duplicate Invoice)"", ""confidence_if_evaluated"": 1.0}]",Evaluated Exact Duplicate Invoice with confidence 1.00. | Evaluated PO Not Found with confidence 1.00. | Calculated Priority Score: 76.19 from 2 evaluated exceptions (Raw: 160.0). | Payment blocked by Exact Duplicate Invoice. | Escalation required by Exact Duplicate Invoice. | Exact Duplicate Invoice has stop_further_checks=true. Remaining validations skip routing. | Skipped routing for 'PO Not Found' — stop_further_checks active from (Exact Duplicate Invoice). | Age Weight Applied: 30 points (invoice age = 3793 days). | Assigned Priority Tier: HIGH
TST-001,5000.0,MEDIUM,True,True,,71.43,150.0,48,False,False,False,Drafted communication for TST-001 regarding escalations.,Data Error | Procurement,AP Team | Procurement,Future Date (1.00); PO Not Found (1.00),[],Evaluated Future Date with confidence 1.00. | Evaluated PO Not Found with confidence 1.00. | Calculated Priority Score: 71.43 from 2 evaluated exceptions (Raw: 150.0). | Payment blocked by Future Date. | Escalation required by Future Date. | Payment blocked by PO Not Found. | Escalation required by PO Not Found. | Age Weight Applied: 5 points (invoice age = 0 days). | Assigned Priority Tier: MEDIUM
upload_1c91c433,0.0,MEDIUM,True,True,,69.05,145.0,48,False,False,False,Drafted communication for upload_1c91c433 regarding escalations.,Vendor Submission | Procurement,AP Manager | Procurement,Missing Required Data (1.00); PO Not Found (1.00),[],Skipped Exact Duplicate Invoice evaluation because required field 'vendor_name' is missing. | Evaluated Missing Required Data with confidence 1.00. | Evaluated Missing Required Data with confidence 1.00. | Evaluated PO Not Found with confidence 1.00. | Calculated Priority Score: 69.05 from 3 evaluated exceptions (Raw: 145.0). | Payment blocked by Missing Required Data. | Escalation required by Missing Required Data. | Payment blocked by Missing Required Data. | Escalation required by Missing Required Data. | Payment blocked by PO Not Found. | Escalation required by PO Not Found. | Age Weight Applied: 5 points (invoice age = 0 days). | Assigned Priority Tier: MEDIUM
upload_c0dc7422,0.0,MEDIUM,True,True,,69.05,145.0,48,False,False,False,Drafted communication for upload_c0dc7422 regarding escalations.,Vendor Submission | Procurement,AP Manager | Procurement,Missing Required Data (1.00); PO Not Found (1.00),[],Skipped Exact Duplicate Invoice evaluation because required field 'vendor_name' is missing. | Evaluated Missing Required Data with confidence 1.00. | Evaluated Missing Required Data with confidence 1.00. | Evaluated PO Not Found with confidence 1.00. | Calculated Priority Score: 69.05 from 3 evaluated exceptions (Raw: 145.0). | Payment blocked by Missing Required Data. | Escalation required by Missing Required Data. | Payment blocked by Missing Required Data. | Escalation required by Missing Required Data. | Payment blocked by PO Not Found. | Escalation required by PO Not Found. | Age Weight Applied: 5 points (invoice age = 0 days). | Assigned Priority Tier: MEDIUM
